N,Dato,name,website,address,Email 1,phone,city,type,Email 2,Email 3
1,Google,Bahia del Sol Beachfront Hotel Playa Potrero,http://www.bahiadelsolhotel.com/,"2 km norte del cruce de Flamingo, Provincia de Guanacaste, Potrero, 50304, Costa Rica",treservations@bahiadelsolhotel.com,2654 4671,Potrero,Hotel,reservations@bahiadelsolhotel.com,events@bahiadelsolhotel.com
1,Google,La quebrada lodge,http://www.laquebradalodge.com/,"F67J+9V, Guanacaste Province, Potrero, Costa Rica",info@laquebradalodge.com,8984 0456,Potrero,Hotel,,
1,Google,Curiol Boutique Hotel & Lounge,https://www.curiol.com/,"C. Mariposa, Provincia de Guanacaste, Potrero, 50304, Costa Rica",info@Curiol.com,8555 9777,Potrero,Hotel,,
1,Google,Hotel Tabasco,,"C. Naranja, Provincia de Guanacaste, flamingo, 50309, Costa Rica",,6213 0832,Potrero,Hotel,,
1,Google,Hotel & Villas Parti Gras Potrero,https://www.partigrashotel.com/,"200 mts North from La Perla Restaurant, Provincia de Guanacaste, Potrero, Playa, 50304, Costa Rica",reservaciones@partigraspotrero.com,2654 4333,Potrero,Hotel,,
1,Google,Villas Pura Vibra,https://villaspuravibra.com/,"Playa Potrero, Guanacaste. Paseo Surfside 150 metros este del bar Perlas Guanacaste Bahía Potrero, Provincia de Guanacaste, Santa Cruz, 50304, Costa Rica",,8842 0710,Potrero,Hotel,,
1,Google,Sueño al Mar Residence & Hotel,http://www.villasflordepacifico.com/,"Playa Potrero, Santa Cruz , 400 mts norte del Super Ceimy, Provincia de Guanacaste, Potrero, 50205, Costa Rica",,2654 4664,Potrero,Hotel,,
1,Google,Casa Melosa Hotel,http://www.casamelosa.com/,"C. Aguacate, Provincia de Guanacaste, Potrero, playa, 50304, Costa Rica",info@casamelosa.com,(647) 803 8849,Potrero,Hotel,,
1,Google,Hotel y Villas Isolina,https://www.isolinabeach.com/,"200 Mt North from Restaurant Bar La Perla , Playa, Guanacaste Province, Potrero, 50304, Costa Rica",,2654 4333,Potrero,Hotel,,
1,Google,"Horizon Lodge, Appartement vue Pacifique",http://www.horizonlodge-costarica.com/,"Finca La Marcella, 50304 Playa, Provincia de Guanacaste, Potrero, Costa Rica",HL@horizonlodge-costarica.com,6178 6362,Potrero,Hotel,,
1,Google,Hotel Bahía Esmeralda,http://www.hotelbahiaesmeraldacr.com/,"100 metros este de la plaza 100 metros este de la plaza, Provincia de Guanacaste, Santa Cruz, 50304, Costa Rica",info@hotelbahiaesmeraldacr.com,2654 4480,Potrero,Hotel,,
1,Google,Villaggio Sueño al Mar Flor De Pacifico #5,https://villasflordepacifico.com/,"Guanacaste Province, Potrero, Costa Rica",,2654 4664,Potrero,Hotel,,
1,Google,Hotel Flamingo Cabinas,https://u.pe/stay/flamingo-cabinas,"25 mts sur del banco nacional, junto de Surfbox, Flamingo, Guanacaste Province, Santa Cruz, 50308, Costa Rica",,8624 9670,Potrero,Hotel,,
1,Google,Villas Estival,http://www.villasestival.com/,"Playa Prieta, Guanacaste Province, Santa Cruz, Costa Rica",reservas@villasestival.com,2654 4579,Potrero,Hotel,,
1,Google,Krain Costa Rica Real Estate - Potrero,https://krainrealestate.com/,"Comercial Centro Pacifico, Local 3, Provincia de Guanacaste, Playa Potrero, Costa Rica",info@kraincostarica.com,(866) 994 9163,Potrero,Property management,,
1,Google,Home Owners Property Management Services,https://homscr.com/,"Playa Potrero, 50 al oeste de Hotel Villa Esmeralda, Provincia de Guanacaste, Santa Cruz, 50304, Costa Rica",jorge@hms-cr.net,2654 5875,Potrero,Property management,,
1,Google,Tropical Homes of Costa Rica,https://tropicalhomesofcostarica.com/,"100 metros norte del Banco de, Provincia de Guanacaste, Playa Flamingo, 50308, Costa Rica",rentals@tropicalhomesofcostarica.com,2654 5442,Potrero,Property management,,
1,Google,Villa Mandala,https://www.villamandala.info/,"500 Mrs Este del Bar La Perla, Provincia de Guanacaste, Potrero, 50304, Costa Rica",villamandala@yahoo.com,,Potrero,Property management,,
1,Google,Casa Mango,https://www.specialplacesofcostarica.com/properties/casa-mango/,"C6WH+29J, Calle Mango, Guanacaste Province, Santa Cruz, Costa Rica",,2654 4493,Potrero,Property management,contact@crvr.net,
1,Google,Casa Ojo d' Aguila,https://www.specialplacesofcostarica.com/properties/casa-ojo-daguila/,"Potrero road Provincia de Guanacaste Guanacaste playa Potrero, Provincia de Guanacaste, Santa Cruz, 50304, Costa Rica",,2654 5460,Potrero,Property management,contact@crvr.net,
1,Google,Summer Coast Realty,http://www.summercoastrealty.com/,"Office number 8. First Floor, El Dorado commercial center. Main road., Ruta Nacional Secundaria 180, Provincia de Guanacaste, Playa Flamingo, 50308, Costa Rica",iris@summercoastrealty.com,2537 4263,Potrero,Property management,enis@summercoastrealty.com,admin@summercoastrealty.com
1,Google,El Destino Beach Front Property 2A,https://www.airbnb.com/rooms/969013871691144250?guests=1&adults=1&s=67&unique_share_id=c4c958d5-c5d6-45dd-957a-577f56cfa507,"C. Playa Central, Provincia de Guanacaste, Potrero, Playa, Costa Rica",,(586) 524 9738,Potrero,Property management,,
1,Google,Villa Catalina 10,https://www.specialplacesofcostarica.com/properties/villa-catalina-10/,"F68G+72G, Cam. Las Catalinas, Provincia de Guanacaste, Potrero, Costa Rica",,2654 4493,Potrero,Property management,contact@crvr.net,
1,Google,Margaritaville Beach Resort Playa Flamingo,https://www.margaritavillebeachresortcostarica.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp_listing,"Provincia de Guanacaste, Playa Flamingo, 50308, Costa Rica",,2654 4444,Playa Flamingo,Hotel,,
1,Google,Dunama Hotel & Casino,https://www.hoteldunama.com/,"Flamingo Beach Rd, Provincia de Guanacaste, Playa Flamingo, Costa Rica",fcotorales@gmail.com,2654 4311,Playa Flamingo,Hotel,mercadeo@hoteldunama.com,
1,Google,Palms Costa Rica,http://www.palmscostarica.com,"C6J5+C2R, Flamingo Beach Road, Guanacaste Province, Playa Flamingo, Costa Rica",,2288 0526,Playa Flamingo,Hotel,,
1,Google,Marina Flamingo,http://www.visitmarinaflamingo.com/?utm_source=google&utm_medium=organic&utm_campaign=GMB-Listing,"Contiguo al, CPI Spanish Immersion School, Provincia de Guanacaste, Playa Flamingo, Costa Rica",info@visitmarinaflamingo.com,4500 3000,Playa Flamingo,Hotel,,
1,Google,The Palms Residences,http://www.flamingoresidences.com/,"Flamingo Beach Road 500, Guanacaste Province, Playa Flamingo, Costa Rica",,,Playa Flamingo,Hotel,,
1,Google,The Palms 29,http://www.thepalmscostarica29.com/,"Flamingo Beach Road, Guanacaste Province, Playa Flamingo, 50308, Costa Rica",,,Playa Flamingo,Hotel,,
